actual,proposed,linearVelocityError,angularVelocity
0.0,0.0,0.6128534078598022,-0.0
0.0,0.0,0.6128534078598022,-0.0
0.0,0.0,0.6128534078598022,-0.0
0.0,0.0,0.6128534078598022,-0.0
0.0,0.0,0.6128534078598022,-0.0
-0.0718885213136673,-0.005683538503944874,0.6046268939971924,-0.0010038861073553562
-0.07375572621822357,-0.017369529232382774,0.5886918306350708,-0.0010445842053741217
-0.07562292367219925,-0.02411341294646263,0.5809672474861145,-0.0010988482972607017
-0.08627808094024658,-0.041166022419929504,0.5651406645774841,-0.0012536776484921575
-0.09123647958040237,-0.04916795715689659,0.5571466684341431,-0.0012824978912249207
-0.09520316869020462,-0.06818719953298569,0.5412310361862183,-0.0013833686243742704
-0.09851530194282532,-0.07563412189483643,0.5334088206291199,-0.0013833686243742704
-0.10747094452381134,-0.10326262563467026,0.516769289970398,-0.0015616337768733501
-0.11344131827354431,-0.11344131827354431,0.5001277327537537,-0.001648391131311655
-0.12584461271762848,-0.11841660737991333,0.49110862612724304,-0.0017206890042871237
-0.13993841409683228,-0.13993841409683228,0.4711638391017914,-0.002033435506746173
-0.15403196215629578,-0.14597854018211365,0.4602672755718231,-0.002121209865435958
-0.16309194266796112,-0.15403196215629578,0.43782925605773926,-0.002238241955637932
-0.15489612519741058,-0.15489612519741058,0.4151979386806488,-0.0022508001420646906
-0.16938813030719757,-0.15489612519741058,0.4036761224269867,-0.0022508001420646906
-0.17663399875164032,-0.16938813030719757,0.3908880949020386,-0.002461401280015707
-0.1838797926902771,-0.1838797926902771,0.3777371644973755,-0.0026720024179667234
-0.20496012270450592,-0.20496012270450592,0.3497898280620575,-0.002978363074362278
-0.21812087297439575,-0.2124805897474289,0.3351213335990906,-0.0030876609962433577
-0.22470109164714813,-0.21812087297439575,0.29225653409957886,-0.0031696343794465065
-0.22936350107192993,-0.22390331327915192,0.2783051133155823,-0.0032536748331040144
-0.23573365807533264,-0.23573365807533264,0.26350143551826477,-0.003425617003813386
